;index;EngNames;Language;Group;Family;glottocode;dialect;classes;source;source_bibtex;Lat;Lon
452;511;Tidib;Avar;Avar;Nakh-Daghestanian;hidd1238;гидский;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.3889;46.5742
453;452;Sagada;Tsez;Tsezic;Nakh-Daghestanian;saga1261;сагадинский;4;[Bokarev 1959: 175];bokarev1959;42.38941;45.91798
454;347;Kvantlada;Inkhoqwari;Tsezic;Nakh-Daghestanian;inxo1238;инхокаринский;5;[Khalilova 2009: 1];khalilova2009;42.39204;46.06382
455;421;Nizhnie Ubekimakhi;Dargwa;Dargwa;Nakh-Daghestanian;cuda1238;цудахарский;3;[Abdullaev 1954: 6-9];abdullaev1954;42.392787;47.20548
456;281;Khotoda;Avar;Avar;Nakh-Daghestanian;hidd1238;гидский;3;[Saidova 2008: 23-28];saidova2008;42.39393;46.559446
457;216;Kakamakhi;Dargwa;Dargwa;Nakh-Daghestanian;akus1238;акушинский;3;[Abdullaev 1954: 6-9];abdullaev1954;42.62928;47.43518
458;454;Salta;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, салтинский;3;[Saidova 2008: 23-28];saidova2008;42.39589;47.07048
459;294;Khushet;Tsez;Tsezic;Nakh-Daghestanian;dido1241;цезский;4;[Bokarev 1959: 175];bokarev1959;42.39721;45.77278
460;375;Mekegi;Dargwa;Dargwa;Nakh-Daghestanian;;мекегинский;3;[Gasanova 1971: 38-40];gasanova1971;42.3978;47.4625
461;404;Myurego;Dargwa;Dargwa;Nakh-Daghestanian;;мюрегинский;3;[Gasanova 1971: 38-40];gasanova1971;42.4042;47.6894
462;280;Khotoch;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, хоточ-хинданский;3;[Saidova 2008: 23-28];saidova2008;42.408408;46.954024
463;201;Inkhokvari;Inkhoqwari;Tsezic;Nakh-Daghestanian;inxo1238;инхокаринский;5;[Bokarev 1959: 143];bokarev1959;42.410888;46.044877
464;4;Agada;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, куядинский;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.412001;46.841895
465;301;Khvayni;Inkhoqwari;Tsezic;Nakh-Daghestanian;inxo1238;инхокаринский;5;[Khalilova 2009: 1];khalilova2009;42.415087;45.968736
466;585;Verkhnee Inkhokvari;Inkhoqwari;Tsezic;Nakh-Daghestanian;inxo1238;инхокаринский;5;[Khalilova 2009: 1];khalilova2009;42.415524;46.065273
467;461;Sekh;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, куядинский;3;[Saidova 2008: 23-28];saidova2008;42.416094;46.826447
468;100;Degva;Dargwa;Dargwa;Nakh-Daghestanian;;мекегинский;3;[Gasanova 1971: 38-40];gasanova1971;42.4161;47.5372
469;614;Ziurib;Avar;Avar;Nakh-Daghestanian;hidd1238;гидский;3;[Saidova 2008: 23-28];saidova2008;42.41789;46.705088
470;246;Khadzhalmakhi;Dargwa;Dargwa;Nakh-Daghestanian;cuda1238;цудахарский;3;[Gasanova 1971: 38-40];gasanova1971;42.4186;47.1817
471;519;Tlogob;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, куядинский;3;[Saidova 2008: 23-28];saidova2008;42.4189;46.8153
472;40;Ayalakab;Dargwa;Dargwa;Nakh-Daghestanian;;мекегинский;3;[Gasanova 1971: 38-40];gasanova1971;42.4231;47.4625
473;389;Mokoda;Avar;Avar;Nakh-Daghestanian;kaxi1241;кахибский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.42385;46.66963
474;332;Kuppa;Dargwa;Dargwa;Nakh-Daghestanian;cuda1238;цудахарский;3;[Gasanova 1971: 38-40];gasanova1971;42.4239;47.1231
475;592;Verkhniy Kolob;Avar;Avar;Nakh-Daghestanian;kaxi1241;кахибский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.42614;46.6579
476;217;Kakhib;Avar;Avar;Nakh-Daghestanian;kaxi1241;кахибский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.4272;46.5969
477;249;Khamakal;Avar;Avar;Nakh-Daghestanian;kaxi1241;кахибский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.428109;46.674497
478;44;Balanub;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, куядинский;3;[Saidova 2008: 23-28];saidova2008;42.4284;46.8251
479;423;Nizhniy Kolob;Avar;Avar;Nakh-Daghestanian;kaxi1241;кахибский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.430087;46.659303
480;354;Levashi;Dargwa;Dargwa;Nakh-Daghestanian;akus1238;акушинский;3;[Gasanova 1971: 38-40];gasanova1971;42.4325;47.3258
481;22;Angida;Tindi;Andic;Nakh-Daghestanian;tind1238;;3;[Magomedova 2003: 15];magomedova2003;42.43279;46.1924
482;176;Goor;Avar;Avar;Nakh-Daghestanian;kaxi1241;кахибский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.43339;46.56927
483;130;Echeda;Tindi;Andic;Nakh-Daghestanian;tind1238;;3;[Magomedova 2003: 15];magomedova2003;42.43436;45.992398
484;400;Murada;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, куядинский;3;[Saidova 2008: 23-28];saidova2008;42.445422;46.954469
485;177;Goor-Khindakh;Avar;Avar;Nakh-Daghestanian;kaxi1241;кахибский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.449273;46.575312
486;462;Sergokala;Dargwa;Dargwa;Nakh-Daghestanian;urax1238;урахинский ;3;[Koryakov 2006: 33-36];koryakov2006;42.4494;47.6633
487;312;Koroda;Avar;Avar;Nakh-Daghestanian;batl1238;батлухский;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.44961;46.846988
488;513;Tindi;Tindi;Andic;Nakh-Daghestanian;tind1238;;3;[Magomedova 2003: 15];magomedova2003;42.454716;46.13469
489;300;Khvartikuni;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, салтинский;3;[Saidova 2008: 23-28];saidova2008;42.4569;47.0067
490;99;Darada;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, салтинский;3;[Saidova 2008: 23-28];saidova2008;42.465606;46.936573
491;548;Tunzi;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, салтинский;3;[Saidova 2008: 23-28];saidova2008;42.46888;46.97573
492;298;Khvarada;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, салтинский;3;[Saidova 2008: 23-28];saidova2008;42.46889;46.99406
493;136;Gadaychi;Tindi;Andic;Nakh-Daghestanian;tind1238;;3;[Magomedova 2003: 15];magomedova2003;42.470059;46.070951
494;542;Tsumada-Urukh;Chamalal;Andic;Nakh-Daghestanian;gakv1238;гакваринский;5;[Bokarev 1949: 5-10];bokarev1949;42.474208;46.063467
495;541;Tsumada;Chamalal;Andic;Nakh-Daghestanian;gakv1238;гакваринский;5;[Bokarev 1949: 5-10];bokarev1949;42.48187;46.05247
496;605;Zanata;Avar;Avar;Nakh-Daghestanian;batl1238;батлухский;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.485146;46.552771
497;422;Nizhniy Batlukh;Avar;Avar;Nakh-Daghestanian;batl1238;батлухский;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.4853;46.5239
498;362;Maali;Avar;Avar;Nakh-Daghestanian;ancu1238;анцухский, ташский;3;[Saidova 2008: 23-28];saidova2008;42.4858;46.9197
499;174;Golotl';Avar;Avar;Nakh-Daghestanian;batl1238;батлухский;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.485962;46.735698
500;515;Tissi;Tindi;Andic;Nakh-Daghestanian;tind1238;;3;[Magomedova 2003: 15];magomedova2003;42.48917;46.14395
501;590;Verkhniy Batlukh;Avar;Avar;Nakh-Daghestanian;batl1238;батлухский;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.496276;46.502217
502;214;Kadirkent;Dargwa;Dargwa;Nakh-Daghestanian;;мюрего-губденский;3;[Koryakov 2006: 33-36];koryakov2006;42.49661;47.60836
503;436;Richaganikh;Chamalal;Andic;Nakh-Daghestanian;gakv1238;гакваринский;5;[Bokarev 1949: 5-10];bokarev1949;42.49724000000001;46.05853
504;505;Tagada;Avar;Avar;Nakh-Daghestanian;ancu1238;анцухский, ташско-чадаколобская;3;[Saidova 2008: 23-28];saidova2008;42.497573;46.868389
505;516;Tissi-Akhitli;Tindi;Andic;Nakh-Daghestanian;tind1238;;3;[Magomedova 2003: 15];magomedova2003;42.501506;46.103923
506;160;Gergebil';Avar;Avar;Nakh-Daghestanian;;восточный;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.5047;47.0661
507;357;Lologonitl';Akhvakh;Andic;Nakh-Daghestanian;akhv1239;;3;[Magomedbekova 1967: 5-7];magomedbekova1967;42.51398;46.33093
508;114;Dzhanga;Dargwa;Dargwa;Nakh-Daghestanian;;мюрего-губденский;3;[Koryakov 2006: 33-36];koryakov2006;42.517038;47.76486
509;295;Khushtada;Bagvalal;Andic;Nakh-Daghestanian;bagv1239;;3;[Kibrik 2001: 21];kibrik2001;42.517389;46.166126
510;521;Tlondoda;Bagvalal;Andic;Nakh-Daghestanian;bagv1239;;3;[Kibrik 2001: 21];kibrik2001;42.5247;46.1989
511;208;Izano;Akhvakh;Andic;Nakh-Daghestanian;akhv1239;;3;[Magomedbekova 1967: 5-7];magomedbekova1967;42.52735;46.40389
512;419;Nizhnie Gakvari;Chamalal;Andic;Nakh-Daghestanian;gakv1238;гакваринский;5;[Bokarev 1949: 5-10];bokarev1949;42.53602;46.05171
513;289;Khunzakh;Avar;Avar;Nakh-Daghestanian;kunz1243;хунзахский;0;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.5394;46.705
514;323;Kudiyabroso;Akhvakh;Andic;Nakh-Daghestanian;akhv1239;;3;[Magomedbekova 1967: 5-7];magomedbekova1967;42.541069;46.377932
515;5;Agvali;Chamalal;Andic;Nakh-Daghestanian;gakv1238;гакваринский;5;[Bokarev 1949: 5-10];bokarev1949;42.541192;46.121798
516;587;Verkhnie Gakvari;Chamalal;Andic;Nakh-Daghestanian;gakv1238;гакваринский;5;[Bokarev 1949: 5-10];bokarev1949;42.547874;46.032686
517;503;Tad-Magitl';Akhvakh;Andic;Nakh-Daghestanian;akhv1239;;3;[Magomedbekova 1967: 5-7];magomedbekova1967;42.550266;46.348953
518;135;Gachitli;Chamalal;Andic;Nakh-Daghestanian;cham1309;;5;[Bokarev 1949: 5-10];bokarev1949;42.551361;46.08880300000001
519;345;Kvankero;Akhvakh;Andic;Nakh-Daghestanian;akhv1239;;3;[Magomedbekova 1967: 5-7];magomedbekova1967;42.55244;46.3404
520;517;Tlibisho;Bagvalal;Andic;Nakh-Daghestanian;bagv1239;;3;[Kibrik 2001: 21];kibrik2001;42.56054;46.30101
521;344;Kvanada;Bagvalal;Andic;Nakh-Daghestanian;bagv1239;;3;[Kibrik 2001: 21];kibrik2001;42.561478;46.17397
522;167;Gimerso;Bagvalal;Andic;Nakh-Daghestanian;bagv1239;;3;[Kibrik 2001: 21];kibrik2001;42.561489;46.227545
523;518;Tlisi;Bagvalal;Andic;Nakh-Daghestanian;tlis1238;тлиссинско-тлибишинский;3;[Kibrik 2001: 21];kibrik2001;42.56209000000001;46.27428
524;179;Gubden;Dargwa;Dargwa;Nakh-Daghestanian;;губденский ;3;[Gasanova 1971: 38-40];gasanova1971;42.5658;47.5658
525;137;Gadiri;Chamalal;Andic;Nakh-Daghestanian;cham1309;;5;[Bokarev 1949: 5-10];bokarev1949;42.566265;46.065746
526;164;Gigatl';Chamalal;Andic;Nakh-Daghestanian;giga1238;гигатлийский;5;[Bokarev 1949: 5-10];bokarev1949;42.58136;46.0964
527;232;Karata;Karata;Andic;Nakh-Daghestanian;kara1474;;3;[Magomedbekova 1971: 5];magomedbekova1971;42.5942;46.3419
528;27;Archo;Karata;Andic;Nakh-Daghestanian;kara1474;;3;[Magomedbekova 1971: 5];magomedbekova1971;42.597691;46.305756
529;490;Siukh;Karata;Andic;Nakh-Daghestanian;kara1474;;3;[Magomedbekova 1971: 5];magomedbekova1971;42.5999;46.54462
530;20;Anchik (Anchikh);Karata;Andic;Nakh-Daghestanian;anch1238;анчихский;3;[Magomedbekova 1971: 5];magomedbekova1971;42.608098;46.271717
531;191;Gurbuki;Dargwa;Dargwa;Nakh-Daghestanian;;губденский ;3;[Gasanova 1971: 38-40];gasanova1971;42.611506;47.591942
532;372;Mashtada;Karata;Andic;Nakh-Daghestanian;kara1474;;3;[Magomedbekova 1971: 5];magomedbekova1971;42.61362;46.314659000000006
533;432;Rachabulda;Karata;Andic;Nakh-Daghestanian;kara1474;;3;[Magomedbekova 1971: 5];magomedbekova1971;42.617256;46.300014
534;212;Kachkalyk;Dargwa;Dargwa;Nakh-Daghestanian;kada1294;кадарский ;3;[Koryakov 2006: 33-36];koryakov2006;42.61852;47.33391
535;229;Karamakhi;Dargwa;Dargwa;Nakh-Daghestanian;kada1294;кадарский;3;[Gasanova 1971: 38-40];gasanova1971;42.618786;47.256653
536;213;Kadar;Dargwa;Dargwa;Nakh-Daghestanian;kada1294;кадарский;3;[Gasanova 1971: 38-40];gasanova1971;42.6242;47.2903
537;173;Godoberi;Godoberi;Andic;Nakh-Daghestanian;ghod1238;;3;[Saidova 1973: 6];saidova1973;42.6258;46.1189
538;80;Chankurbe;Dargwa;Dargwa;Nakh-Daghestanian;kada1294;кадарский;3;[Gasanova 1971: 38-40];gasanova1971;42.630465;47.300216
539;75;Chabanmakhi;Dargwa;Dargwa;Nakh-Daghestanian;kada1294;кадарский ;3;[Koryakov 2006: 33-36];koryakov2006;42.63784;47.25923
